id,device_type,search_name,brand,model,release_date,eco_rating,durability,repairability,recyclability,climate_efficiency,resource_efficiency,ram_human,storage_human,ram,storage,model_number_info,label_version
4233,Smartphone,Nokia C21 Plus TA-1424,Nokia,C21 Plus,2022-04,75,33,57,70,53,83,3 GB,32 GB,3,32,TA-1424,1
4234,Smartphone,NOTHING Phone (1) A063,NOTHING,Phone (1),2022-07,77,50,64,64,56,85,8 GB,128 GB,8,128,A063,1
4235,Smartphone,NOTHING Phone (1) A063,NOTHING,Phone (1),2022-07,77,50,64,64,56,85,12 GB,256 GB,12,256,A063,1
4236,Smartphone,NOTHING Phone (1) A063,NOTHING,Phone (1),2022-07,77,50,64,64,56,85,8 GB,256 GB,8,256,A063,1
4237,Smartphone,NUBIA REDMAGIC 7 NX679J,NUBIA,REDMAGIC 7,2022-05,66,50,64,56,41,73,12 GB,128 GB,12,128,NX679J,1
4238,Smartphone,Samsung Galaxy A13 SM-A135M,Samsung,Galaxy A13,2022-04,78,42,56,77,66,81,4 GB,128 GB,4,128,SM-A135M,1
4239,Smartphone,Samsung Galaxy A 13 5G SM-A136B,Samsung,Galaxy A 13 5G,2022-05,77,58,62,77,77,71,4 GB,64 GB,4,64,SM-A136B,1
4240,Smartphone,Samsung Galaxy S21 FE 5G SM-G990B,Samsung,Galaxy S21 FE 5G,2022-01,74,66,65,77,57,79,6 GB,256 GB,6,256,SM-G990B,1
4241,Smartphone,Samsung Galaxy A13 5G SM-A136M,Samsung,Galaxy A13 5G,2022-05,74,58,62,77,68,71,4 GB,128 GB,4,128,SM-A136M,1
4242,Smartphone,Samsung Galaxy A13 4G SM-A137F,Samsung,Galaxy A13 4G,2022-07,77,52,56,77,69,77,4 GB,128 GB,4,128,SM-A137F,1
4243,Smartphone,Samsung Galaxy M13 SM-M135M,Samsung,Galaxy M13,2022-07,79,52,56,77,71,80,4 GB,128 GB,4,128,SM-M135M,1
4244,Smartphone,Samsung Galaxy A23 SM-A235M,Samsung,Galaxy A23,2022-03,85,50,62,77,67,91,6 GB,128 GB,6,128,SM-A235M,1
4245,Smartphone,vivo Y55 5G V2127,vivo,Y55 5G,2022-05,72,67,74,62,52,77,4 GB,128 GB,4,128,V2127,1
4246,Smartphone,vivo Y22s PD2228IF_EX,vivo,Y22s,2022-07,80,69,81,67,70,82,6 GB,128 GB,6,128,PD2228IF_EX,1
4247,Smartphone,vivo X80 Lite 5G PD2215EF_EX,vivo,X80 Lite 5G,2022-10,75,64,73,62,62,78,8 GB,256 GB,8,256,PD2215EF_EX,1
4248,Smartphone,Deutsche Telekom AG T Phone Pro S98215,Deutsche Telekom AG,T Phone Pro,2022-10,68,54,52,65,36,80,6 GB,128 GB,6,128,S98215,1
4249,Smartphone,Deutsche Telekom AG T Phone S98317,Deutsche Telekom AG,T Phone,2022-10,74,54,52,65,49,84,4 GB,64 GB,4,64,S98317,1
4250,Smartphone,Xiaomi Redmi Note 11S 2201117SY,Xiaomi,Redmi Note 11S,2022-01,79,50,49,54,55,90,4 GB,64 GB,4,64,2201117SY,1
4251,Smartphone,Xiaomi 12 2201123G,Xiaomi,12,2022-03,75,50,46,46,41,90,8 GB,128 GB,8,128,2201123G,1
4252,Smartphone,Xiaomi Redmi A1 220733SL,Xiaomi,Redmi A1,2022-10,73,57,49,40,54,78,2 GB,32 GB,2,32,220733SL,1
4253,Smartphone,Nokia G60 5G TA-1479,Nokia,G60 5G,2022-08,81,60,67,87,68,85,4 GB,128 GB,4,128,TA-1479,1
4254,Smartphone,Nokia G60 5G TA-1479,Nokia,G60 5G,2022-08,81,60,67,87,68,85,6 GB,128 GB,6,128,TA-1479,1
4255,Smartphone,Nokia G60 5G TA-1479,Nokia,G60 5G,2022-08,81,60,67,87,68,85,4 GB,64 GB,4,64,TA-1479,1
4256,Smartphone,HONOR 70 5G FNE-NX9,HONOR,70 5G,2022-09,80,53,66,61,60,87,8 GB,256 GB,8,256,FNE-NX9,1
4257,Smartphone,HONOR 70 5G FNE-NX9,HONOR,70 5G,2022-09,81,53,66,61,62,87,8 GB,128 GB,8,128,FNE-NX9,1
4258,Smartphone,HONOR X8 5G VNE-NX1,HONOR,X8 5G,2022-08,81,47,66,61,65,87,6 GB,128 GB,6,128,VNE-NX1,1
4259,Smartphone,Motorola Edge 30 Ultra XT2241-2,Motorola,Edge 30 Ultra,2022-09,73,43,63,77,51,81,12 GB,256 GB,12,256,XT2241-2,1
4260,Smartphone,OnePlus 10T 5G CPH2415,OnePlus,10T 5G,2022-08,74,63,76,62,36,90,8 GB,128 GB,8,128,CPH2415,1
4261,Smartphone,OPPO A57S CPH2385,OPPO,A57S,2022-08,79,62,74,54,54,88,4 GB,128 GB,4,128,CPH2385,1
4262,Smartphone,OPPO A57S CPH2385,OPPO,A57S,2022-08,79,62,74,54,54,88,4 GB,64 GB,4,64,CPH2385,1
4263,Smartphone,OPPO Reno8 5G CPH2359,OPPO,Reno8 5G,2022-09,78,58,76,61,49,90,8 GB,128 GB,8,128,CPH2359,1
4264,Smartphone,REALME 9i 5G RMX3612,REALME,9i 5G,2022-09,77,78,61,50,53,87,4 GB,64 GB,4,64,RMX3612,1
4265,Smartphone,Samsung Galaxy A04s SM-A047F,Samsung,Galaxy A04s,2022-09,78,46,62,77,68,79,3 GB,32 GB,3,32,SM-A047F,1
